D_YEAR,BRAND_ID,BRAND,SUM_AGG
1998,2002002,importoimporto #2,-3200661.94
1998,10015008,scholaramalgamalg #8,-3237655.58
1998,8008002,namelessnameless #2,-3358245.49
1998,5004001,edu packscholar #1,-3376874.23
1998,3001001,amalgexporti #1,-3394516.29
1998,9001008,amalgmaxi #8,-3404959.27
1998,6004006,edu packcorp #6,-3420471.42
1998,7004007,edu packbrand #7,-3425497.99
1998,8016006,corpmaxi #6,-3475754.49
1998,7006001,corpbrand #1,-3484561.00
1998,6009006,maxicorp #6,-3503100.98
1998,8007009,brandnameless #9,-3506445.78
1998,8012007,importomaxi #7,-3576904.27
1998,7006007,corpbrand #7,-3584064.12
1998,8002007,importonameless #7,-3609997.38
1998,6015006,scholarbrand #6,-3621081.09
1998,10005002,scholarunivamalg #2,-3621981.64
1998,5002002,importoscholar #2,-3646091.07
1998,10009009,maxiunivamalg #9,-3667448.97
1998,5004002,edu packscholar #2,-3701092.71
1998,6008004,namelesscorp #4,-3773511.54
1998,9008008,namelessmaxi #8,-3777350.68
1998,10007008,brandunivamalg #8,-3790220.26
1998,7004001,edu packbrand #1,-3799197.05
1998,6003007,exporticorp #7,-3813987.37
1998,6010004,univbrand #4,-3835416.85
1998,2003002,exportiimporto #2,-3845833.34
1998,10004001,edu packunivamalg #1,-3847250.38
1998,4002001,importoedu pack #1,-3854512.00
1998,10005006,scholarunivamalg #6,-3915311.88
1998,10005007,scholarunivamalg #7,-3938831.63
1998,8012006,importomaxi #6,-3985664.75
1998,4004002,edu packedu pack #2,-4020459.10
1998,1003002,exportiamalg #2,-4026206.79
1998,9008002,namelessmaxi #2,-4041793.68
1998,7013005,exportinameless #5,-4046532.85
1998,9012002,importounivamalg #2,-4049454.23
1998,1003001,exportiamalg #1,-4087295.78
1998,6010005,univbrand #5,-4087757.45
1998,8003009,exportinameless #9,-4169758.33
1998,7014006,edu packnameless #6,-4210029.09
1998,6003005,exporticorp #5,-4258202.76
1998,10013011,exportiamalgamalg #11,-4396285.28
1998,8007005,brandnameless #5,-7343710.94
1998,4003001,exportiedu pack #1,-7554687.11
1998,2001001,amalgimporto #1,-7943203.43
1998,10003010,exportiunivamalg #10,-8088997.96
1998,4004001,edu packedu pack #1,-8233755.28
1998,1002002,importoamalg #2,-11722365.91
1998,4001001,amalgedu pack #1,-11956885.71
1999,9012002,importounivamalg #2,-3203869.63
1999,2002002,importoimporto #2,-3279741.04
1999,7004001,edu packbrand #1,-3319971.49
1999,7006001,corpbrand #1,-3368117.18
1999,10015008,scholaramalgamalg #8,-3400413.89
1999,10013011,exportiamalgamalg #11,-3434189.22
1999,8012007,importomaxi #7,-3444860.14
1999,7006007,corpbrand #7,-3455880.46
1999,6015006,scholarbrand #6,-3461084.21
1999,6004006,edu packcorp #6,-3535755.48
1999,4002001,importoedu pack #1,-3592803.37
1999,4004002,edu packedu pack #2,-3595946.89
1999,10007008,brandunivamalg #8,-3607061.23
1999,8016006,corpmaxi #6,-3621306.19
1999,5004002,edu packscholar #2,-3625335.78
1999,8003009,exportinameless #9,-3625864.15
1999,9008008,namelessmaxi #8,-3641803.24
1999,1003001,exportiamalg #1,-3644536.64
1999,6003005,exporticorp #5,-3647554.24
1999,6009006,maxicorp #6,-3682344.38
1999,6010004,univbrand #4,-3686768.39
1999,9001008,amalgmaxi #8,-3690426.15
1999,6010005,univbrand #5,-3693852.22
1999,10005007,scholarunivamalg #7,-3693937.23
1999,10005006,scholarunivamalg #6,-3727812.06
1999,10005002,scholarunivamalg #2,-3757943.36
1999,10009009,maxiunivamalg #9,-3765890.38
1999,7014006,edu packnameless #6,-3782031.93
1999,2003002,exportiimporto #2,-3827853.97
1999,8008002,namelessnameless #2,-3834928.97
1999,6003007,exporticorp #7,-3848707.37
1999,3001001,amalgexporti #1,-3853744.03
1999,7004007,edu packbrand #7,-3862640.27
1999,8012006,importomaxi #6,-3871510.17
1999,6008004,namelesscorp #4,-3880424.92
1999,8002007,importonameless #7,-3898596.68
1999,8007009,brandnameless #9,-3906266.61
1999,7013005,exportinameless #5,-3923984.00
1999,5004001,edu packscholar #1,-4003841.49
1999,1003002,exportiamalg #2,-4053173.72
1999,10004001,edu packunivamalg #1,-4141565.49
1999,9008002,namelessmaxi #2,-4361581.34
1999,5002002,importoscholar #2,-4372302.05
1999,2001001,amalgimporto #1,-6605271.62
1999,10003010,exportiunivamalg #10,-7090861.80
1999,4004001,edu packedu pack #1,-7118086.24
1999,4003001,exportiedu pack #1,-7443268.06
1999,8007005,brandnameless #5,-7503547.48
1999,4001001,amalgedu pack #1,-11567580.75
1999,1002002,importoamalg #2,-12026305.16
