CHANNEL,ID,SALES,RETURNS,PROFIT
catalog channel,catalog_pageAAAAAAAAAABAAAAA,0.00,13314440.87,-7885235.85
catalog channel,catalog_pageAAAAAAAAAACAAAAA,532574428.39,4364060.83,-54433584.51
catalog channel,catalog_pageAAAAAAAAAADAAAAA,266707140.98,1335582.90,-28688561.94
catalog channel,catalog_pageAAAAAAAAAAEAAAAA,266623017.21,1451150.25,-27602738.76
catalog channel,catalog_pageAAAAAAAAAAFAAAAA,0.00,1011080.52,-600295.42
catalog channel,catalog_pageAAAAAAAAAAGAAAAA,0.00,942876.29,-558144.33
catalog channel,catalog_pageAAAAAAAAAAHAAAAA,0.00,994916.62,-560463.74
catalog channel,catalog_pageAAAAAAAAAAIAAAAA,0.00,642228.06,-384715.82
catalog channel,catalog_pageAAAAAAAAAAJAAAAA,0.00,337549.84,-206429.67
catalog channel,catalog_pageAAAAAAAAAAKAAAAA,0.00,343153.31,-231927.79
catalog channel,catalog_pageAAAAAAAAAALAAAAA,266771363.65,94967.71,-26873951.02
catalog channel,catalog_pageAAAAAAAAABAAAAAA,0.00,13617366.41,-7823541.17
catalog channel,catalog_pageAAAAAAAAABBAAAAA,0.00,13544307.72,-8030787.35
catalog channel,catalog_pageAAAAAAAAABCAAAAA,532245209.05,4734871.97,-54248465.91
catalog channel,catalog_pageAAAAAAAAABDAAAAA,266310335.12,1679421.05,-28144007.57
catalog channel,catalog_pageAAAAAAAAABEAAAAA,265902363.85,1692244.02,-27662518.72
catalog channel,catalog_pageAAAAAAAAABFAAAAA,0.00,1242039.88,-687542.61
catalog channel,catalog_pageAAAAAAAAABGAAAAA,0.00,1081785.11,-613685.01
catalog channel,catalog_pageAAAAAAAAABHAAAAA,0.00,989785.80,-577575.90
catalog channel,catalog_pageAAAAAAAAABIAAAAA,0.00,721156.02,-439762.57
catalog channel,catalog_pageAAAAAAAAABJAAAAA,0.00,309092.59,-178531.05
catalog channel,catalog_pageAAAAAAAAABKAAAAA,0.00,346834.49,-205076.72
catalog channel,catalog_pageAAAAAAAAABLAAAAA,268788741.46,75600.20,-26109739.49
catalog channel,catalog_pageAAAAAAAAACAAAAAA,0.00,13430258.72,-7874802.00
catalog channel,catalog_pageAAAAAAAAACBAAAAA,0.00,13278080.78,-7787063.87
catalog channel,catalog_pageAAAAAAAAACCAAAAA,532671467.26,4535777.90,-56424761.82
catalog channel,catalog_pageAAAAAAAAACDAAAAA,263937311.92,1693387.79,-27812723.60
catalog channel,catalog_pageAAAAAAAAACEAAAAA,263646559.61,1691816.06,-28701184.11
catalog channel,catalog_pageAAAAAAAAACFAAAAA,0.00,1032259.10,-596568.82
catalog channel,catalog_pageAAAAAAAAACGAAAAA,0.00,981694.95,-579621.89
catalog channel,catalog_pageAAAAAAAAACHAAAAA,0.00,1060549.14,-594678.81
catalog channel,catalog_pageAAAAAAAAACIAAAAA,0.00,679164.57,-391368.47
catalog channel,catalog_pageAAAAAAAAACJAAAAA,0.00,452148.79,-226435.12
catalog channel,catalog_pageAAAAAAAAACKAAAAA,265617000.21,87606.65,-26693600.75
catalog channel,catalog_pageAAAAAAAAACLAAAAA,268412060.31,71446.05,-25289277.28
catalog channel,catalog_pageAAAAAAAAADAAAAAA,0.00,13467432.90,-7950344.55
catalog channel,catalog_pageAAAAAAAAADBAAAAA,0.00,13802310.79,-8084368.10
catalog channel,catalog_pageAAAAAAAAADCAAAAA,532789178.67,4617909.66,-56949129.49
catalog channel,catalog_pageAAAAAAAAADDAAAAA,267025243.79,1579372.26,-28351568.49
catalog channel,catalog_pageAAAAAAAAADEAAAAA,264096927.45,1612012.56,-28151172.16
catalog channel,catalog_pageAAAAAAAAADFAAAAA,0.00,887766.04,-538402.04
catalog channel,catalog_pageAAAAAAAAADGAAAAA,0.00,1087005.80,-620359.87
catalog channel,catalog_pageAAAAAAAAADHAAAAA,0.00,916314.25,-580473.14
catalog channel,catalog_pageAAAAAAAAADIAAAAA,0.00,723926.15,-395926.89
catalog channel,catalog_pageAAAAAAAAADJAAAAA,0.00,319903.16,-184356.56
catalog channel,catalog_pageAAAAAAAAADKAAAAA,264421436.05,67462.78,-27098828.38
catalog channel,catalog_pageAAAAAAAAADLAAAAA,266373634.05,82294.71,-26879724.90
catalog channel,catalog_pageAAAAAAAAAEAAAAAA,0.00,13770991.99,-7872879.58
