headline,reviewBody
HYATT IN KOH SAMUI,HYATT IN KOH SAMUI! Fantastic.Beautiful location great rooms super service and lovely staff. Food was superb. Lovely 3 night break. GREAT.
The Best Hotel,The Best Hotel ever. Super Location it is situated in
Bettwr then the westgate timeshare i…,Bettwr then the westgate timeshare i own. I rent that pos out and stay at the hyatt when in orlando.
Stayed in orlando and it was amazing,Stayed in orlando and it was amazing. Very clean and friendly staff.
Hyatt vacation club avoid buying into scheme if none US national.,We have been Hyatt vacation club owners for nearly 20 years. With the pandemic and lockdowns we’ve not used them for the last 2 years( very understandable). Unlike U.K. companies that have tried look after people after holidays have been cancelled by ensuring refund rebook or credit eg Airbnb. Hyatt offer nothing to international owners.They argue they are open but as US government have closed borders to Europe holiday makers then this is irrelevant (I wouldn’t be so aggravated by this if us citizens weren’t on holiday in Europe).My advise if you live outside the US do not buy into this scheme. You have no protection.
Jordan…,We stayed at the Grand Hyatt - Amman hotel in Jordan and it was a highlight of the holiday. Nice to relax after a hot dusty day at the spa and two pools. Everything was empty due to covid 19  which added to the luxury and feeling of space.  Staff were excellent.
Morocco,Hotel in morocco was amazing. Present in the heart of city
Amazing buffet,he Buffet at this palace was amazing. One of the best location and buffet
Best Parking lot,The Parking lot of the hotel was very nice. It infact made the hotel standout
Stay here for consistent quality,Stay here for consistent quality - and for slightly less than the rest usually. Never encountered any big issues.
Hyatt House Charlotte Center City,We were transiting through Charlotte NC and stayed at Hyatt House Center City.  We were very impressed with the hotel as it was a very nice property.  The front desk staff were very friendly and the room was excellent.  We did experience one disappointing thing.....on Monday night we went down to the bar about 8:45pm to get a drink and some food.  The bartender said she was closing at 9 so hurry up....I asked if there was enough time and she said yes as long as we order now.  We ordered drinks and I ordered a turkey bacon sandwich.  I was given the bill immediately and told credit cards haven't been working so I had to pay cash or charge to the room.  I asked her to try it and she said no it's not working.  So reluctantly I paid cash for both the bill and a tip.  The drinks were served in plastic cups and when I got the food it was not served on a plate it was in a Styrofoam container.   I had to ask for a napkin and all I got were drink napkins no utensils and delivered with a plastic bag to go......so we got the hint that she wanted us out of there even though she already said there would be enough time.   At this point I was already regretting the 25% tip I gave her.  Then I got back to the room and went to eat and realized the bread was stale and the bacon was cold.  It was overall the worst turkey bacon sandwich I ever had.This was a very disappointing experience of a generally great overall stay at a great hotel.
Great experience in Venice,We stayed at the Hyatt Centric on Murano recently and felt thoroughly pampered from beginning to end. Wonderful location beautiful hotel and very attentive service. The best breakfasts we have ever had in a hotel (including the gluten free versions).
Just a terrible customer service expierence,Two days of trying to adjust a work trip reservation. multiple phone calls with over then 40 min waits and nothing resolved. I will never use Hyatt for any personal trips in the future. Just insane that you cant change a reservation with online chat. Best advise is to stay somewhere else then have to deal with Hyatts lack luster of customer service
Pool color,No hotel room is big and the Buffay but I do not like the color of the pool and the smell of it
The Queen Room,The Queen Room is very beatiful and has an amazing view
