headline ,reviewBody ,ratingValue ,Fake_Percentage ,Real_Percentage,Fake,Real,Total
HYATT IN KOH SAMUI,HYATT IN KOH SAMUI! Fantastic.Beautiful location,5,43.75,56.25,21,27,48
Bettwr then the westgate timeshare i… ,Bettwr then the westgate timeshare i own. I rent that pos out and stay at the hyatt when in orlando. ,5,47.92,52.08,23,25,48
Stayed in orlando and it was amazing,Stayed in orlando and it was amazing. Very clean and friendly staff. ,5,31.25,68.75,15,33,48
Hyatt vacation club avoid buying into scheme if none US national. ,We have been Hyatt vacation club owners for nearly 20 years. With the pandemic and lockdowns we’ve not used them for the last 2 years( very understandable). Unlike U.K. companies that have tried look after people after holidays have been cancelled by ensuring refund,1,42.55,57.45,20,27,47
Jordan… ,We stayed at the Grand Hyatt - Amman hotel in Jordan and it was a highlight of the holiday. Nice to relax after a hot dusty day at the spa and two pools. Everything was empty due to covid 19  which added to the luxury and feeling of space.  Staff were excellent. ,5,30.43,69.57,14,32,46
Stay here for consistent quality ,Stay here for consistent quality - and for slightly less than the rest,5,33.33,66.67,16,32,48
Hyatt House Charlotte Center City ,We were transiting through Charlotte,2,22.92,77.08,11,37,48
Great experience in Venice ,We stayed at the Hyatt Centric on Murano recently and felt thoroughly pampered from beginning to end. Wonderful location,5,40.43,59.57,19,28,47
Just a terrible customer service expierence , Two days of trying to adjust a work trip reservation. multiple phone calls with over then 40 min waits and nothing resolved. I will never use Hyatt for any personal trips in the future. Just insane that you cant change a reservation with online chat. Best advise is to stay somewhere else then have to deal with Hyatts lack luster of customer service ,1,41.67,58.22,20,28,48
Pool color ,No hotel room is big and the Buffay but I do not like the color of the pool and the smell of it,4,37.5,62.5,18,30,48
Morocco,Hotel in morocco was amazing. Present in the heart of city,4,29.79,70.21,14,33,47
Amazing buffet,he Buffet at this palace was amazing. One of the best location and buffet,5,34.04,65.96,16,31,47
Best Parking lot,The Parking lot of the hotel was very nice. It infact made the hotel standout,6,35.42,64.58,17,31,48
very niceeeee,very niceeeee,2,54.17,45.83,26,22,48
